"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006979","GO:0006979","response to oxidative stress","63/1294","376/16672",4.41765845753382e-09,2.26449172533184e-05,1.93307433768085e-05,"5536/2730/5663/3717/5625/3091/1471/9688/2936/5516/3315/9124/2054/5159/11235/9588/7128/2309/5311/8013/1843/2185/847/55829/2643/5562/694/406/3939/5156/29979/79899/1861/7225/10516/4170/29920/388/10550/890/2308/11030/65018/836/9529/5598/2861/9943/5970/90441/253827/488/5074/5587/3297/154807/4217/7296/51734/4277/2878/1147/2119",63
"GO:1901653","GO:1901653","cellular response to peptide","53/1294","304/16672",1.90936297640552e-08,4.89369730852734e-05,4.17748520679881e-05,"5577/2844/10580/3717/688/858/857/23189/10014/5573/59345/54206/2309/8013/5290/3164/6776/5908/529/55829/5468/5791/5562/51763/26191/23175/9882/3480/185/890/5295/1979/2308/55022/51094/3625/28999/252983/11031/6774/3667/2783/5970/6777/3952/57085/5781/3297/23545/8660/5167/4641/54741",53
"GO:1901652","GO:1901652","response to peptide","66/1294","425/16672",4.12321978273127e-08,7.04520820209349e-05,6.01411390765399e-05,"5577/2844/10580/3717/4792/688/858/857/23189/10014/5573/1432/55914/59345/22937/54206/7128/2309/8013/847/5290/3164/6776/5908/529/55829/5468/5791/5562/51763/694/26191/6272/23175/9882/3480/185/890/5295/2796/1979/133/2308/55022/7079/51094/3625/28999/252983/11031/6774/3667/2783/5970/6777/488/3952/57085/5781/3297/23545/8660/5167/4641/2475/54741",66
"GO:0007015","GO:0007015","actin filament organization","54/1294","323/16672",6.07104980564599e-08,7.78005032593533e-05,6.64140895843957e-05,"6093/9948/285527/55604/10580/3717/28984/23189/4739/8936/6722/10096/2185/7408/11034/81/10487/51763/10810/23075/9645/9475/64780/5879/10097/85464/375/5295/1730/2934/2059/123720/7791/10092/10602/25802/171024/27289/57175/1072/5074/91663/359845/4771/2316/2764/4641/89848/1902/51734/2475/2013/283/10093",54
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","49/1294","287/16672",1.27601033286568e-07,0.000130816579325389,0.000111671051657319,"5577/2844/10580/3717/858/857/23189/10014/5573/59345/54206/8013/5290/3164/6776/5908/529/55829/5468/5791/5562/51763/23175/9882/3480/185/890/5295/1979/2308/55022/51094/3625/252983/11031/6774/3667/2783/5970/6777/3952/57085/5781/3297/23545/8660/5167/4641/54741",49
"GO:0048514","GO:0048514","blood vessel morphogenesis","71/1294","487/16672",1.65462941023567e-07,0.0001413605059478,0.000120671832602626,"79602/1890/639/51564/28996/6093/6095/3091/688/28984/857/3315/10014/1432/9444/6722/5159/11235/8828/7128/5311/2185/5290/4327/3164/64344/6237/14/6303/90627/694/9475/5156/1284/9394/10413/7057/10427/94/4240/3491/388/92140/133/7342/23576/4643/7498/861/7855/7048/25976/55273/5598/290/1285/25932/10855/57493/3952/8322/8325/302/147372/9241/5587/7026/1282/55742/2013/283",71
"GO:0034329","GO:0034329","cell junction assembly","37/1294","192/16672",2.04738613660935e-07,0.000149927161946565,0.000127984724359174,"928/7414/2824/3909/3918/51564/81671/6093/9948/55679/10979/60/10580/3551/857/6722/2185/7408/5908/81/9475/3915/5879/7094/7057/94/8394/92140/123720/54751/7855/1613/57493/5339/71/2316/4641",37
"GO:1902532","GO:1902532","negative regulation of intracellular signal transduction","66/1294","447/16672",2.82700612360926e-07,0.000181140417370263,0.000154629795471628,"10048/55885/9709/8531/51564/6095/6717/9462/11213/3091/4792/5516/857/3315/23189/1845/10114/55914/604/54206/7128/5311/1843/599/55829/5562/51763/406/26191/51347/55654/10253/10010/4609/7057/5495/1847/7009/3480/126374/4170/10318/2308/23171/7498/65018/51094/84447/467/7417/9529/5598/3622/55031/5970/5187/91663/4582/64853/4771/11261/7088/200734/801/805/54741",66
"GO:0034599","GO:0034599","cellular response to oxidative stress","40/1294","220/16672",3.36195878086655e-07,0.000191482230119133,0.000163458042714178,"5536/3717/5625/3091/1471/9688/3315/11235/7128/2309/5311/8013/55829/2643/5562/406/5156/29979/79899/7225/10516/4170/29920/388/10550/890/2308/65018/9529/5598/2861/5970/90441/488/5074/5587/3297/154807/4217/2119",40
"GO:0034330","GO:0034330","cell junction organization","42/1294","246/16672",9.96085677090363e-07,0.00051059351807652,0.000435866122069962,"928/7414/2824/3909/3918/51564/81671/6093/9948/55679/10979/60/10580/3551/857/6722/2185/11228/7408/5908/5819/81/9475/3915/5879/7094/7057/94/8394/92140/123720/54751/7855/1613/57493/5339/1002/71/4771/2316/4641/283",42
