"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04510","hsa04510","Focal adhesion","49/630","199/7314",5.76779539009317e-12,1.67842845851711e-09,1.13534498731308e-09,"7414/3909/3918/4659/6093/60/8516/1286/3912/6655/10627/1311/858/857/896/5159/103910/5290/54776/7408/2002/5908/81/5894/9475/5156/1284/3915/5879/7094/7057/3480/8515/5295/53358/7791/1398/1285/5604/5881/5293/5499/71/1282/3908/2316/55742/5500/3672",49
"hsa04722","hsa04722","Neurotrophin signaling pathway","31/630","119/7314",1.19539502507119e-08,1.73929976147857e-06,1.17652036678059e-06,"6196/5663/11213/6655/4792/3551/4793/1432/2309/5290/5908/5894/6272/5879/396/5295/53358/5598/27018/1398/5604/3667/5293/5970/5781/4217/5336/801/805/4215/4893",31
"hsa05205","hsa05205","Proteoglycans in cancer","42/630","203/7314",5.22883175197978e-08,5.07196679942039e-06,3.43084750042182e-06,"4659/406991/6093/60/6655/3091/858/857/1432/868/5290/3709/54776/6237/2002/5894/22800/9475/5879/4609/7057/3480/5295/7855/836/8323/6774/5604/5293/5499/10855/8322/8325/5781/71/23365/2316/5336/2475/4893/5500/117581",42
"hsa05220","hsa05220","Chronic myeloid leukemia","23/630","78/7314",7.97659944385725e-08,5.80297609540615e-06,3.92532656842449e-06,"9846/4616/6655/4792/3551/868/5290/6776/5894/4609/5925/5295/53358/861/7048/1398/5604/5293/5970/6777/5781/4893/1147",23
"hsa04810","hsa04810","Regulation of actin cytoskeleton","42/630","212/7314",1.88350614725448e-07,1.09620057770211e-05,7.41506630603345e-06,"7414/4659/6093/27006/60/8516/6655/10627/2259/28964/8936/5159/103910/5290/54776/6237/81/5894/22800/9475/5156/5879/85464/8515/8394/5295/2768/1730/2934/10092/1398/5604/5881/5293/5499/1072/71/23365/4893/5500/3672/10093",42
"hsa04140","hsa04140","Autophagy - animal","30/630","128/7314",2.66190361564742e-07,1.291023253589e-05,8.73291186186085e-06,"8837/11345/23604/81671/55062/58476/9706/51100/3091/5516/6009/10645/5290/6237/5894/5562/22800/3480/9711/5295/26100/64419/1613/5604/3667/5293/8660/2475/79065/4893",30
"hsa04910","hsa04910","Insulin signaling pathway","31/630","138/7314",4.61756718691554e-07,1.89237316415997e-05,1.2800643215696e-05,"5577/5255/3991/10580/6655/5834/3551/6009/51422/5573/868/5290/2002/5894/5562/51763/2319/5295/53358/2308/1398/5604/3667/5293/5499/8660/801/805/2475/4893/5500",31
"hsa04218","hsa04218","Cellular senescence","34/630","160/7314",5.2024004512989e-07,1.89237316415997e-05,1.2800643215696e-05,"823/5606/28996/4616/5934/6009/10114/1432/896/5810/2309/5290/3709/6237/5894/22800/4609/5925/890/5295/2308/678/7048/7417/5604/5293/5499/5970/801/805/2475/91750/4893/5500",34
"hsa04920","hsa04920","Adipocytokine signaling pathway","20/630","69/7314",7.64893245321124e-07,2.4731548265383e-05,1.67292440789532e-05,"79602/7133/3717/4792/3551/4793/51422/1374/10645/5562/2180/51094/6774/3667/5970/3952/5781/8660/2475/1147",20
"hsa04152","hsa04152","AMPK signaling pathway","27/630","121/7314",2.9248281186151e-06,8.51124982516994e-05,5.75729324401078e-05,"79602/23216/3991/55437/81617/23417/5862/5516/6009/51422/1374/10645/2309/5290/5468/5562/3480/890/5295/2308/51094/3667/5293/3952/64764/8660/2475",27
"hsa04068","hsa04068","FoxO signaling pathway","28/630","132/7314",5.48475409671387e-06,0.000145096676558521,9.81482312043535e-05,"11345/4616/6655/5934/23678/3551/51422/1432/604/6446/2309/847/5290/5894/5562/3480/6502/5295/2308/114907/7048/6774/5604/3667/5293/8660/4893/1147",28
"hsa04931","hsa04931","Insulin resistance","24/630","107/7314",9.44222889145662e-06,0.000228974050617823,0.000154885684447578,"6196/4792/5834/3551/51422/1374/5290/7376/9945/5562/9882/5295/2308/10999/6774/3667/5293/5499/5970/5781/64764/8660/2475/5500",24
"hsa04070","hsa04070","Phosphatidylinositol signaling system","22/630","99/7314",2.58377652426708e-05,0.00057836843735517,0.000391227700435583,"9108/3632/80271/3705/8760/160851/10423/54928/5290/3709/51763/3613/8394/5295/253430/64419/5293/9807/5336/801/805/22908",22
"hsa05221","hsa05221","Acute myeloid leukemia","17/630","66/7314",2.89142448527695e-05,0.000591050474539984,0.000399806253351337,"6655/3551/7704/5290/6776/5894/4609/5295/861/6774/5604/5293/5970/6777/2475/4893/1147",17
"hsa05222","hsa05222","Small cell lung cancer","21/630","93/7314",3.04665193061847e-05,0.000591050474539984,0.000399806253351337,"3909/3918/1286/3912/4616/4792/3551/5290/1284/3915/4609/5925/6502/5295/836/1285/5293/5970/1282/3908/1147",21
"hsa04010","hsa04010","MAPK signaling pathway","46/630","294/7314",4.23020366264637e-05,0.000769368291143808,0.00052042637165452,"5536/8491/5606/10235/27006/6196/4616/6655/2259/3551/3315/1326/1845/1432/6722/5159/1843/3164/6237/2002/3306/5908/5894/22800/5156/51347/5879/4609/5495/1847/3480/2768/7048/836/783/5598/1398/5604/5881/5970/1435/2316/4217/4215/4893/1147",46
"hsa04211","hsa04211","Longevity regulating pathway","20/630","89/7314",5.04873374105068e-05,0.000864224422732793,0.000584590222647974,"79602/6009/51422/10645/2309/847/5290/5468/5562/3480/5295/2308/51094/3667/5293/5970/64764/8660/2475/4893",20
"hsa05214","hsa05214","Glioma","17/630","71/7314",7.90992303116514e-05,0.00127877089003836,0.000865003278846714,"4616/6655/5159/5290/5894/5156/5925/3480/5295/53358/5604/5293/5336/801/805/2475/4893",17
"hsa05131","hsa05131","Shigellosis","16/630","65/7314",8.96153885227058e-05,0.00137253042421618,0.000928425354778171,"7414/6093/60/4792/3551/4793/1432/8936/9475/5879/10092/1398/5970/71/1147/10093",16
"hsa04072","hsa04072","Phospholipase D signaling pathway","27/630","146/7314",0.000104243636826162,0.00151674491582066,0.00102597684665749,"9265/9846/6655/160851/6009/5159/2185/5290/6237/5894/22800/5156/8394/375/5899/185/5295/2768/53358/5604/10555/5293/5781/5336/1902/2475/4893",27
"hsa05212","hsa05212","Pancreatic cancer","17/630","75/7314",0.000163478150397474,0.00226534008407928,0.00153235158517933,"10928/4616/3551/5290/5894/5879/5925/5899/5295/7048/6774/5604/5881/5293/5970/2475/1147",17
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","15/630","62/7314",0.000182298483315703,0.00235332037088648,0.0015918643854432,"51422/2309/847/5290/3306/5562/3480/5295/1979/2308/3667/5293/8660/2475/4893",15
"hsa04150","hsa04150","mTOR signaling pathway","27/630","151/7314",0.00018729124912929,0.00235332037088648,0.0015918643854432,"6196/55437/9706/81929/6655/81617/3551/6009/6446/5290/529/5894/5562/23175/3480/6502/5295/7855/8323/5604/3667/5293/8322/8325/2475/4893/1147",27
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","17/630","76/7314",0.000194088278011256,0.00235332037088648,0.0015918643854432,"7414/8218/79658/60/858/857/8936/868/5290/5879/5295/53358/10092/1398/5293/71/10093",17
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","19/630","91/7314",0.000218265063341863,0.0023709991960934,0.00160382293242708,"9846/273/8936/5290/7408/5894/10810/5879/8394/5295/2934/50807/10092/1398/5604/5293/1072/5336/10093",19
"hsa04015","hsa04015","Rap1 signaling pathway","34/630","210/7314",0.000218860588325049,0.0023709991960934,0.00160382293242708,"9855/5606/10235/27006/60/2259/1432/5159/5290/7408/6237/5908/5894/5156/9771/5879/7094/7057/3480/5899/5295/9223/1398/5604/5881/5293/71/5587/1435/1902/801/805/4893/6494",34
"hsa04151","hsa04151","PI3K-Akt signaling pathway","50/630","351/7314",0.000227447059000327,0.0023709991960934,0.00160382293242708,"3909/3918/27006/8516/1286/3912/3717/6655/2259/5934/23678/3551/5516/1311/6009/896/5159/59345/6446/2309/5290/3164/5894/5562/5156/1284/3915/5879/4609/7057/3480/8515/4170/5295/3570/1285/5604/3667/5293/2783/5970/64764/1435/1282/3908/1902/2475/4893/1147/3672",50
"hsa04014","hsa04014","Ras signaling pathway","37/630","236/7314",0.000228137379692836,0.0023709991960934,0.00160382293242708,"10928/9846/10235/27006/9462/6655/2259/3551/8036/5159/59345/5290/6237/2002/5908/5894/22800/5156/9771/5879/3480/27/5899/5295/53358/5604/5881/5293/2783/5970/5781/1435/5336/801/805/4893/1147",37
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","20/630","99/7314",0.000240175559700514,0.00241003751285688,0.00163022975186919,"1286/3717/1432/5290/6776/1284/5879/185/5295/2308/7048/836/6774/1285/5293/5970/6777/1282/5336/4893",20
